epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28266.2,1.83643,1.41623,0.00647,0.45348,0.34925,0.29298,0.14356,1.6385,1.43715,0.00563,0.00643101,0.00643101,0.00643101
43,28924.4,1.83534,1.41238,0.00647,0.4523,0.34985,0.29287,0.14349,1.63856,1.43425,0.00564,0.00628101,0.00628101,0.00628101
44,29584.4,1.83432,1.40901,0.00648,0.44813,0.35257,0.29354,0.14358,1.63578,1.43207,0.00563,0.00612981,0.00612981,0.00612981
45,30244.5,1.83206,1.41057,0.00646,0.44897,0.35306,0.29411,0.14374,1.63378,1.42912,0.00562,0.00597754,0.00597754,0.00597754
46,30904.3,1.83028,1.40124,0.00642,0.45055,0.35362,0.29387,0.14328,1.63258,1.42465,0.00563,0.00582435,0.00582435,0.00582435
47,31564.8,1.82687,1.39182,0.00641,0.44971,0.35308,0.29322,0.14327,1.62882,1.42277,0.00561,0.0056704,0.0056704,0.0056704
48,32223.2,1.82192,1.38609,0.00641,0.44927,0.35374,0.29407,0.14371,1.62693,1.4164,0.0056,0.00551584,0.00551584,0.00551584
49,32885.6,1.82382,1.38239,0.00638,0.44914,0.35391,0.29498,0.14402,1.62483,1.41503,0.0056,0.00536081,0.00536081,0.00536081
50,33545.8,1.81609,1.37845,0.00643,0.45001,0.35378,0.29521,0.14454,1.62353,1.41452,0.0056,0.00520548,0.00520548,0.00520548
51,34206.4,1.81362,1.37107,0.00635,0.44944,0.35535,0.29624,0.14537,1.62384,1.41429,0.0056,0.00505,0.00505,0.00505
52,34866.5,1.81712,1.37273,0.00634,0.39999,0.35471,0.29725,0.14583,1.6236,1.41332,0.00559,0.00489452,0.00489452,0.00489452
53,35530.1,1.81333,1.36564,0.00632,0.39502,0.35563,0.29811,0.14634,1.6261,1.4111,0.0056,0.00473919,0.00473919,0.00473919
54,36190.4,1.81091,1.35759,0.00632,0.39647,0.35349,0.29898,0.14674,1.62506,1.41184,0.00559,0.00458416,0.00458416,0.00458416
55,36849.5,1.80509,1.35698,0.00631,0.42726,0.35389,0.29996,0.14728,1.62324,1.41141,0.00558,0.0044296,0.0044296,0.0044296
56,37507.4,1.80597,1.35634,0.00631,0.42695,0.35323,0.30051,0.14804,1.62306,1.40983,0.00558,0.00427565,0.00427565,0.00427565
57,38169.3,1.80657,1.35383,0.00627,0.40443,0.35517,0.30132,0.14856,1.62245,1.40869,0.00559,0.00412246,0.00412246,0.00412246
58,38828.5,1.79363,1.34084,0.00628,0.40992,0.35608,0.30227,0.14914,1.62173,1.40557,0.00559,0.00397019,0.00397019,0.00397019
59,39488.9,1.79714,1.34368,0.00627,0.41543,0.35784,0.30373,0.15002,1.62161,1.40339,0.00559,0.00381899,0.00381899,0.00381899
60,40151,1.79062,1.33743,0.00623,0.41542,0.3573,0.30397,0.15006,1.6218,1.40078,0.00558,0.00366899,0.00366899,0.00366899
61,40814.4,1.7918,1.33094,0.00617,0.41,0.35713,0.30457,0.15064,1.62088,1.39971,0.00557,0.00352037,0.00352037,0.00352037
62,41473.1,1.79194,1.32573,0.00622,0.41076,0.3569,0.30468,0.1507,1.61977,1.39865,0.00556,0.00337325,0.00337325,0.00337325
63,42133.6,1.7861,1.3239,0.00618,0.4124,0.35643,0.30507,0.15108,1.61905,1.3972,0.00556,0.00322778,0.00322778,0.00322778
64,42792.8,1.77955,1.32105,0.00619,0.39807,0.35595,0.30481,0.15113,1.61831,1.39594,0.00556,0.00308412,0.00308412,0.00308412
65,43453.9,1.78063,1.31149,0.00616,0.40881,0.35382,0.30553,0.15151,1.61927,1.39357,0.00557,0.00294239,0.00294239,0.00294239
66,44114.9,1.77579,1.30733,0.00611,0.41531,0.355,0.30598,0.15178,1.61925,1.39171,0.00558,0.00280275,0.00280275,0.00280275
67,44775.7,1.77385,1.30282,0.00615,0.40464,0.35713,0.30631,0.15178,1.61831,1.39074,0.00557,0.00266532,0.00266532,0.00266532
68,45436.1,1.7724,1.30202,0.00614,0.40751,0.3539,0.30676,0.15209,1.61773,1.39016,0.00557,0.00253024,0.00253024,0.00253024
69,46096.5,1.76736,1.29067,0.00608,0.40189,0.35719,0.30717,0.15242,1.61677,1.38904,0.00557,0.00239766,0.00239766,0.00239766
70,46759.4,1.77004,1.28835,0.00607,0.40461,0.35594,0.30759,0.15284,1.61611,1.38586,0.00558,0.00226769,0.00226769,0.00226769
71,47418,1.76061,1.2881,0.00612,0.40631,0.35672,0.30851,0.15329,1.61382,1.3842,0.00556,0.00214046,0.00214046,0.00214046
72,48081.3,1.75319,1.27827,0.00607,0.39961,0.35758,0.30921,0.15358,1.61286,1.3835,0.00556,0.00201611,0.00201611,0.00201611
73,48739.1,1.74955,1.27465,0.00605,0.39633,0.35893,0.30892,0.15358,1.61209,1.3797,0.00554,0.00189475,0.00189475,0.00189475
74,49407.5,1.75253,1.27133,0.00607,0.39407,0.3582,0.3095,0.15399,1.61107,1.37861,0.00554,0.00177651,0.00177651,0.00177651
75,50068.3,1.7495,1.26379,0.00601,0.38809,0.35816,0.30988,0.15422,1.60697,1.37439,0.00552,0.00166149,0.00166149,0.00166149
76,50726.5,1.75039,1.26757,0.00599,0.38887,0.35836,0.31072,0.15476,1.60651,1.37378,0.00552,0.00154982,0.00154982,0.00154982
77,51385.8,1.74645,1.26552,0.00601,0.38821,0.35625,0.31051,0.15464,1.60576,1.37423,0.00552,0.00144161,0.00144161,0.00144161
78,52046.1,1.74033,1.25694,0.00599,0.3903,0.3559,0.31141,0.15509,1.6052,1.37147,0.00552,0.00133695,0.00133695,0.00133695
79,52705.2,1.73737,1.25284,0.00597,0.38937,0.35716,0.31128,0.15521,1.60614,1.37125,0.00553,0.00123596,0.00123596,0.00123596
80,53362,1.73522,1.24835,0.00595,0.39704,0.35656,0.31178,0.15551,1.60593,1.37056,0.00553,0.00113873,0.00113873,0.00113873
81,54020.6,1.73043,1.24366,0.00596,0.39428,0.35585,0.31148,0.15533,1.60532,1.37096,0.00553,0.00104537,0.00104537,0.00104537
82,54680.3,1.73464,1.24108,0.00593,0.3967,0.35657,0.31189,0.15563,1.60512,1.36959,0.00553,0.000955951,0.000955951,0.000955951
83,55339.6,1.72836,1.23866,0.00591,0.39679,0.35539,0.31249,0.15574,1.60429,1.36969,0.00553,0.000870577,0.000870577,0.000870577
84,56000.9,1.73069,1.2395,0.00591,0.39576,0.35766,0.31271,0.15584,1.60501,1.36848,0.00553,0.000789327,0.000789327,0.000789327
85,56662.4,1.729,1.22994,0.00587,0.39186,0.36189,0.31328,0.15606,1.60225,1.36123,0.00552,0.000712282,0.000712282,0.000712282
86,57322.5,1.72345,1.23199,0.00589,0.39093,0.36277,0.31328,0.156,1.60269,1.36088,0.00553,0.000639518,0.000639518,0.000639518
87,57983.4,1.71857,1.22461,0.00589,0.39164,0.3609,0.3136,0.15592,1.60267,1.36057,0.00553,0.000571106,0.000571106,0.000571106
88,58649,1.71774,1.22366,0.00591,0.38836,0.36281,0.31361,0.15598,1.6021,1.36069,0.00552,0.000507115,0.000507115,0.000507115
89,59310,1.72037,1.22559,0.00589,0.38896,0.36113,0.31339,0.15596,1.60131,1.35987,0.00552,0.000447606,0.000447606,0.000447606
90,59967.9,1.71651,1.21979,0.00585,0.38629,0.36214,0.3134,0.15612,1.60193,1.35895,0.00552,0.00039264,0.00039264,0.00039264
91,60605.5,1.65885,1.18627,0.00644,0.38797,0.36131,0.31362,0.15593,1.59995,1.36224,0.00548,0.00034227,0.00034227,0.00034227
92,61257.1,1.65055,1.17537,0.00638,0.38755,0.36029,0.31351,0.15599,1.5992,1.3613,0.00548,0.000296546,0.000296546,0.000296546
93,61909.5,1.65312,1.17901,0.00639,0.38723,0.35871,0.31303,0.1556,1.59878,1.36269,0.00547,0.000255513,0.000255513,0.000255513
94,62555.6,1.64613,1.1692,0.00638,0.38468,0.35792,0.31302,0.15551,1.59746,1.36318,0.00546,0.000219212,0.000219212,0.000219212
95,63206.5,1.64596,1.16729,0.00635,0.38427,0.3586,0.31335,0.15577,1.5988,1.3626,0.00546,0.000187678,0.000187678,0.000187678
96,63849.6,1.64912,1.16907,0.00638,0.38402,0.35824,0.313,0.15566,1.59959,1.3621,0.00546,0.000160943,0.000160943,0.000160943
97,64511.4,1.64949,1.16719,0.00644,0.38297,0.35769,0.31291,0.15557,1.59987,1.36257,0.00547,0.000139032,0.000139032,0.000139032
98,65146.2,1.64593,1.16907,0.00639,0.38494,0.35633,0.31278,0.15532,1.60003,1.36245,0.00546,0.000121968,0.000121968,0.000121968
99,65781.4,1.64401,1.16243,0.00637,0.38305,0.35599,0.31235,0.15509,1.6007,1.36376,0.00547,0.000109768,0.000109768,0.000109768
100,66416.5,1.64529,1.16533,0.00629,0.38053,0.35563,0.3118,0.15479,1.60076,1.36481,0.00546,0.000102443,0.000102443,0.000102443
