epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,849.929,1.98724,2.37112,0.00459,0.42691,0.30412,0.25473,0.11965,1.739,1.56535,0.0039,0.00599864,0.00199955,0.00599864,0.00199955,0.0860032,0.0820041,0.00599864,0.00199955
2,1579.25,1.93944,1.65355,0.00444,0.44595,0.31405,0.26437,0.12036,1.72475,1.52786,0.00404,0.0119979,0.0039993,0.0119979,0.0039993,0.0720024,0.0640038,0.0119979,0.0039993
3,2284.43,1.94201,1.6255,0.00447,0.29618,0.33412,0.27439,0.12747,1.74353,1.48928,0.0043,0.0179942,0.00599808,0.0179942,0.00599808,0.0579988,0.0460026,0.0179942,0.00599808
4,2972.34,1.95677,1.65897,0.00455,0.40137,0.3323,0.28176,0.1314,1.77203,1.47813,0.00433,0.0239855,0.00799515,0.0239855,0.00799515,0.04399,0.0279997,0.0239855,0.00799515
5,3653.09,1.99453,1.72814,0.00473,0.32465,0.28005,0.23587,0.10582,1.77312,1.59305,0.00426,0.0299693,0.00998978,0.0299693,0.00998978,0.0299739,0.0099943,0.0299693,0.00998978
6,4333.86,2.00822,1.74374,0.00479,0.42722,0.31298,0.25519,0.11688,1.77773,1.56449,0.00433,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,5022.88,1.99912,1.67462,0.0047,0.345,0.32725,0.27643,0.12684,1.75083,1.49461,0.00404,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,5712.09,1.97495,1.61308,0.00464,0.35729,0.3448,0.30583,0.14373,1.7588,1.49866,0.00439,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,6396.06,1.96776,1.57005,0.0046,0.43987,0.34233,0.29182,0.13568,1.73435,1.39374,0.00432,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,7078.72,1.95306,1.56029,0.00459,0.43845,0.36426,0.30742,0.14535,1.71551,1.39779,0.00406,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,7759.38,1.93884,1.5291,0.0045,0.46902,0.36765,0.32521,0.15488,1.70836,1.36873,0.00397,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,8439.07,1.94172,1.50361,0.00449,0.45471,0.37195,0.34077,0.16402,1.70417,1.35422,0.00395,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,9114.98,1.92752,1.48894,0.00449,0.39901,0.39043,0.34239,0.16678,1.70932,1.36415,0.00415,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,9804.42,1.92011,1.46802,0.00443,0.41118,0.39199,0.33316,0.16187,1.7029,1.34651,0.00408,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,10482.1,1.91764,1.45773,0.00439,0.41376,0.38782,0.35087,0.17086,1.68106,1.3135,0.00392,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,11162,1.91616,1.45507,0.00444,0.40536,0.3811,0.34305,0.16876,1.69233,1.34044,0.00397,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,11841,1.9165,1.43678,0.00443,0.47728,0.40245,0.37044,0.1813,1.67648,1.31237,0.00382,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,12523.6,1.91131,1.43855,0.00445,0.44049,0.40311,0.36384,0.17973,1.676,1.29017,0.00391,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,13201.4,1.90623,1.41832,0.00439,0.44855,0.40056,0.36543,0.18092,1.67859,1.28235,0.00384,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,13879.9,1.89787,1.41721,0.00437,0.45342,0.4085,0.37889,0.1898,1.66975,1.29083,0.00388,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,14563.5,1.9018,1.40709,0.00436,0.45146,0.41414,0.38407,0.19276,1.66338,1.28505,0.00385,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,15242.3,1.88269,1.39659,0.00435,0.48141,0.42075,0.3961,0.19895,1.66287,1.28069,0.00386,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,15920.8,1.88458,1.38412,0.00431,0.48095,0.43017,0.39748,0.20102,1.65832,1.29828,0.00393,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,16600.8,1.89039,1.38524,0.00438,0.45803,0.42386,0.40301,0.20589,1.66011,1.28192,0.00383,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,17278.7,1.87929,1.37161,0.00433,0.43713,0.41755,0.38372,0.19472,1.64965,1.2726,0.00386,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,17963,1.8775,1.37208,0.00434,0.47351,0.43691,0.39941,0.206,1.64629,1.28079,0.00368,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
