epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,25356,1.83861,1.50572,0.00377,0.57217,0.37568,0.37867,0.19322,1.6891,1.62921,0.00433,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,26192.3,1.83246,1.51091,0.00383,0.57866,0.37175,0.37329,0.19684,1.68822,1.6168,0.00436,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,27026.9,1.82931,1.52375,0.00385,0.54576,0.4108,0.37474,0.19657,1.70134,1.59663,0.00445,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,27862.7,1.82834,1.48893,0.0038,0.55656,0.38754,0.3795,0.19603,1.689,1.57858,0.00439,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,28701.9,1.8206,1.4796,0.00374,0.53257,0.41228,0.37305,0.19408,1.67965,1.58728,0.00431,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,29535.8,1.81935,1.46708,0.00381,0.58597,0.3966,0.40442,0.20872,1.68025,1.56739,0.00426,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,30362.6,1.81505,1.46917,0.00376,0.59431,0.38384,0.4047,0.21737,1.68232,1.5566,0.00433,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,31198.2,1.80902,1.44932,0.0038,0.57857,0.41284,0.4107,0.21671,1.6841,1.5717,0.0042,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,32040.8,1.80302,1.4324,0.00377,0.578,0.4103,0.41451,0.21795,1.66997,1.56049,0.00429,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,32877.3,1.80756,1.44156,0.00371,0.57454,0.42866,0.41906,0.21784,1.66692,1.56648,0.00432,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,33715,1.80722,1.41971,0.00369,0.57772,0.39364,0.41285,0.21446,1.67155,1.55259,0.00422,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,34548.1,1.79374,1.42806,0.00371,0.56387,0.41232,0.40285,0.21625,1.67165,1.54998,0.00424,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,35385.8,1.80438,1.41496,0.00377,0.55822,0.4258,0.4081,0.21752,1.66892,1.56769,0.00422,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,36218.6,1.79132,1.40782,0.00369,0.59269,0.40418,0.40817,0.21908,1.67226,1.55516,0.00427,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,37052,1.78976,1.39492,0.00365,0.57194,0.44005,0.41191,0.22039,1.6649,1.56475,0.00427,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,37881.7,1.78902,1.38571,0.0037,0.57686,0.43852,0.4137,0.22049,1.66385,1.55323,0.00424,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
