epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,21038.4,1.85891,1.30935,0.00422,0.4452,0.41993,0.39271,0.19815,1.63427,1.25897,0.00385,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,21720.6,1.86741,1.32391,0.00425,0.44903,0.41699,0.39242,0.19775,1.63489,1.26013,0.00379,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,22401,1.85928,1.31701,0.00422,0.46943,0.40985,0.39779,0.20117,1.63897,1.26238,0.0039,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,23080.7,1.86224,1.31575,0.0042,0.46777,0.4182,0.39979,0.20357,1.63312,1.25981,0.0039,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,23779.9,1.85374,1.30076,0.00422,0.46583,0.42541,0.406,0.20731,1.63674,1.25648,0.00385,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,24475.8,1.84961,1.28974,0.00418,0.47533,0.43193,0.40967,0.20853,1.6343,1.25753,0.00379,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,25158.1,1.84848,1.28171,0.00418,0.4817,0.42097,0.41309,0.21115,1.63913,1.25455,0.0038,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,25835.6,1.84171,1.27677,0.0042,0.47546,0.42654,0.41445,0.21342,1.63816,1.26701,0.00385,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,26513.3,1.8411,1.27512,0.00418,0.4753,0.43229,0.41512,0.21457,1.63531,1.26862,0.00384,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,27201.2,1.83807,1.26281,0.00412,0.47824,0.44071,0.41906,0.21746,1.63079,1.2692,0.00383,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,27898.2,1.8338,1.25741,0.00416,0.49725,0.43014,0.42168,0.21903,1.63059,1.2664,0.00379,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,28583.8,1.83633,1.25321,0.00412,0.49692,0.42806,0.42218,0.21915,1.62842,1.2657,0.00382,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,29267.5,1.82616,1.24681,0.00408,0.49098,0.43095,0.42254,0.22023,1.62505,1.26258,0.00379,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,29950,1.821,1.2324,0.00414,0.48284,0.43397,0.42331,0.22112,1.62481,1.26315,0.00381,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,30635,1.82314,1.23083,0.00411,0.48731,0.43314,0.42306,0.22147,1.6245,1.26952,0.00382,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,31328.2,1.81894,1.22178,0.00409,0.49921,0.42682,0.42445,0.22215,1.62483,1.26731,0.00381,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,32024.3,1.8122,1.21553,0.0041,0.50352,0.43019,0.42459,0.22181,1.62436,1.26933,0.0038,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
