epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,20336.6,1.88763,1.37111,0.00442,0.5267,0.35519,0.33637,0.17183,1.51138,1.34982,0.00432,0.0253549,0.00845163,0.0253549,0.00845163,0.0253549,0.00845163,0.0253549,0.00845163
31,21003.5,1.88327,1.37047,0.0045,0.52091,0.35797,0.3369,0.17208,1.50429,1.3468,0.00412,0.0250534,0.00835114,0.0250534,0.00835114,0.0250534,0.00835114,0.0250534,0.00835114
32,21671.6,1.88015,1.38258,0.00451,0.61727,0.35878,0.33883,0.17321,1.49869,1.32351,0.00428,0.024745,0.00824833,0.024745,0.00824833,0.024745,0.00824833,0.024745,0.00824833
33,22341,1.87818,1.36545,0.00443,0.55026,0.36035,0.33789,0.17287,1.50724,1.31984,0.00415,0.0244299,0.00814331,0.0244299,0.00814331,0.0244299,0.00814331,0.0244299,0.00814331
34,23010.4,1.87561,1.3387,0.0044,0.53463,0.3647,0.33998,0.17414,1.50501,1.32814,0.00434,0.0241085,0.00803617,0.0241085,0.00803617,0.0241085,0.00803617,0.0241085,0.00803617
35,23675.6,1.87269,1.34946,0.00445,0.5261,0.36817,0.33737,0.17308,1.50273,1.33349,0.00417,0.023781,0.00792701,0.023781,0.00792701,0.023781,0.00792701,0.023781,0.00792701
36,24341,1.87553,1.35332,0.00445,0.52645,0.3674,0.33758,0.17352,1.50191,1.33445,0.00403,0.0234479,0.00781596,0.0234479,0.00781596,0.0234479,0.00781596,0.0234479,0.00781596
37,25007,1.87786,1.34866,0.00444,0.53499,0.37243,0.34045,0.17516,1.49931,1.33024,0.00407,0.0231094,0.00770312,0.0231094,0.00770312,0.0231094,0.00770312,0.0231094,0.00770312
38,25672.6,1.86394,1.33088,0.0044,0.55222,0.36952,0.34149,0.17594,1.49884,1.33385,0.00419,0.0227658,0.00758859,0.0227658,0.00758859,0.0227658,0.00758859,0.0227658,0.00758859
39,26338.4,1.87006,1.32669,0.00441,0.53837,0.36991,0.3423,0.17655,1.49699,1.33622,0.00422,0.0224175,0.0074725,0.0224175,0.0074725,0.0224175,0.0074725,0.0224175,0.0074725
40,27007.6,1.85933,1.31505,0.00438,0.53968,0.3741,0.34359,0.17749,1.49431,1.33908,0.00417,0.0220649,0.00735495,0.0220649,0.00735495,0.0220649,0.00735495,0.0220649,0.00735495
41,27675.3,1.85262,1.32016,0.00443,0.54468,0.37198,0.34451,0.17803,1.48958,1.33862,0.00409,0.0217082,0.00723607,0.0217082,0.00723607,0.0217082,0.00723607,0.0217082,0.00723607
42,28342.3,1.85764,1.31612,0.00437,0.54587,0.37245,0.3437,0.17757,1.49298,1.32813,0.00412,0.0213479,0.00711596,0.0213479,0.00711596,0.0213479,0.00711596,0.0213479,0.00711596
43,29010.1,1.85918,1.3105,0.00438,0.54857,0.37124,0.34375,0.17762,1.49801,1.32124,0.00411,0.0209843,0.00699476,0.0209843,0.00699476,0.0209843,0.00699476,0.0209843,0.00699476
44,29677.2,1.852,1.29106,0.00433,0.55221,0.36732,0.34403,0.17782,1.4956,1.32734,0.00414,0.0206177,0.00687257,0.0206177,0.00687257,0.0206177,0.00687257,0.0206177,0.00687257
45,30346.8,1.84814,1.27918,0.00429,0.5522,0.37104,0.34444,0.17841,1.49421,1.32591,0.00411,0.0202486,0.00674953,0.0202486,0.00674953,0.0202486,0.00674953,0.0202486,0.00674953
46,31013.3,1.83904,1.26794,0.00427,0.55686,0.37288,0.34503,0.17871,1.49424,1.32337,0.00417,0.0198772,0.00662574,0.0198772,0.00662574,0.0198772,0.00662574,0.0198772,0.00662574
47,31681.5,1.84363,1.27953,0.00433,0.55454,0.3742,0.34578,0.17911,1.49139,1.32282,0.00406,0.019504,0.00650133,0.019504,0.00650133,0.019504,0.00650133,0.019504,0.00650133
48,32349.4,1.84022,1.2774,0.00431,0.55528,0.37407,0.34607,0.17934,1.48982,1.32576,0.0042,0.0191293,0.00637643,0.0191293,0.00637643,0.0191293,0.00637643,0.0191293,0.00637643
49,33015.6,1.83636,1.26269,0.00427,0.55981,0.3748,0.34682,0.17977,1.48901,1.32467,0.00415,0.0187535,0.00625116,0.0187535,0.00625116,0.0187535,0.00625116,0.0187535,0.00625116
50,33680.1,1.83004,1.25918,0.00426,0.56461,0.37156,0.34685,0.17976,1.49054,1.32355,0.00417,0.0183769,0.00612564,0.0183769,0.00612564,0.0183769,0.00612564,0.0183769,0.00612564
51,34347.8,1.82528,1.24946,0.00424,0.56263,0.37224,0.34702,0.17993,1.49005,1.32623,0.00412,0.018,0.006,0.018,0.006,0.018,0.006,0.018,0.006
52,35015.5,1.82615,1.23925,0.00426,0.56134,0.37409,0.34757,0.1802,1.49047,1.32426,0.00412,0.0176231,0.00587436,0.0176231,0.00587436,0.0176231,0.00587436,0.0176231,0.00587436
53,35681.4,1.82294,1.23465,0.00421,0.55513,0.37655,0.34834,0.18047,1.4891,1.32219,0.00411,0.0172465,0.00574884,0.0172465,0.00574884,0.0172465,0.00574884,0.0172465,0.00574884
54,36349.2,1.81543,1.23641,0.00418,0.55721,0.37617,0.3488,0.18079,1.48994,1.31666,0.00413,0.0168707,0.00562357,0.0168707,0.00562357,0.0168707,0.00562357,0.0168707,0.00562357
55,37025.4,1.82102,1.24724,0.00424,0.55789,0.37513,0.34879,0.1809,1.48819,1.31583,0.0041,0.016496,0.00549867,0.016496,0.00549867,0.016496,0.00549867,0.016496,0.00549867
56,37690.8,1.82057,1.21939,0.0042,0.55822,0.37836,0.34918,0.18115,1.48944,1.31553,0.00417,0.0161228,0.00537426,0.0161228,0.00537426,0.0161228,0.00537426,0.0161228,0.00537426
57,38358.7,1.80795,1.21703,0.00418,0.55909,0.37747,0.34954,0.18136,1.48939,1.31529,0.00418,0.0157514,0.00525047,0.0157514,0.00525047,0.0157514,0.00525047,0.0157514,0.00525047
58,39027.7,1.81798,1.22102,0.0042,0.55902,0.378,0.35086,0.18169,1.48664,1.31827,0.00422,0.0153823,0.00512743,0.0153823,0.00512743,0.0153823,0.00512743,0.0153823,0.00512743
59,39695.5,1.81015,1.20967,0.0042,0.55758,0.37977,0.351,0.18178,1.48684,1.31761,0.00421,0.0150157,0.00500524,0.0150157,0.00500524,0.0150157,0.00500524,0.0150157,0.00500524
60,40366,1.80569,1.20094,0.00415,0.55307,0.38021,0.35137,0.18196,1.48628,1.31712,0.00421,0.0146521,0.00488404,0.0146521,0.00488404,0.0146521,0.00488404,0.0146521,0.00488404
61,41029.9,1.80513,1.19652,0.00418,0.55026,0.37905,0.3516,0.18211,1.48636,1.31631,0.0042,0.0142918,0.00476393,0.0142918,0.00476393,0.0142918,0.00476393,0.0142918,0.00476393
62,41699.7,1.80676,1.18552,0.00414,0.54968,0.37974,0.35153,0.1822,1.48671,1.31596,0.0042,0.0139351,0.00464505,0.0139351,0.00464505,0.0139351,0.00464505,0.0139351,0.00464505
63,42367.6,1.79732,1.17951,0.00411,0.54775,0.37819,0.35139,0.18213,1.48644,1.31542,0.0042,0.0135825,0.0045275,0.0135825,0.0045275,0.0135825,0.0045275,0.0135825,0.0045275
64,43035.7,1.78386,1.1731,0.00414,0.54144,0.3812,0.35137,0.18216,1.48777,1.31116,0.00418,0.0132342,0.00441141,0.0132342,0.00441141,0.0132342,0.00441141,0.0132342,0.00441141
65,43708.9,1.78655,1.16443,0.00407,0.53733,0.38141,0.35168,0.18233,1.48796,1.30966,0.00419,0.0128906,0.00429688,0.0128906,0.00429688,0.0128906,0.00429688,0.0128906,0.00429688
66,44376.2,1.78631,1.17238,0.00411,0.53229,0.38093,0.35197,0.18249,1.48916,1.30317,0.00419,0.0125521,0.00418404,0.0125521,0.00418404,0.0125521,0.00418404,0.0125521,0.00418404
67,45042.5,1.78113,1.15833,0.00409,0.52947,0.38031,0.35223,0.18266,1.48829,1.30251,0.0042,0.012219,0.00407299,0.012219,0.00407299,0.012219,0.00407299,0.012219,0.00407299
68,45719.7,1.77751,1.16415,0.00402,0.54751,0.38095,0.35225,0.1828,1.48802,1.30204,0.00423,0.0118915,0.00396383,0.0118915,0.00396383,0.0118915,0.00396383,0.0118915,0.00396383
69,46390.8,1.77737,1.1515,0.00408,0.47268,0.38094,0.35196,0.18294,1.48735,1.30239,0.00422,0.0115701,0.00385669,0.0115701,0.00385669,0.0115701,0.00385669,0.0115701,0.00385669
70,47060.3,1.77839,1.14753,0.00403,0.47274,0.38057,0.35198,0.18302,1.4875,1.3028,0.00421,0.011255,0.00375167,0.011255,0.00375167,0.011255,0.00375167,0.011255,0.00375167
71,47729.4,1.77655,1.1405,0.00407,0.46876,0.38225,0.35197,0.18303,1.48804,1.30237,0.00421,0.0109466,0.00364886,0.0109466,0.00364886,0.0109466,0.00364886,0.0109466,0.00364886
72,48400.8,1.76937,1.14436,0.00405,0.46625,0.38331,0.35215,0.18313,1.48899,1.30414,0.00422,0.0106451,0.00354837,0.0106451,0.00354837,0.0106451,0.00354837,0.0106451,0.00354837
73,49068.5,1.76163,1.13008,0.00404,0.46208,0.38368,0.35242,0.18334,1.48951,1.3029,0.00424,0.0103509,0.0034503,0.0103509,0.0034503,0.0103509,0.0034503,0.0103509,0.0034503
