YOLO26s Validation Summary (best.pt)
Class,Images,Instances,Box(P),R,mAP50,mAP50-95
all,1951,104904,0.497,0.375,0.358,0.187
Small_Vehicle,885,38155,0.689,0.742,0.731,0.339
Long_Haul_Truck,541,3965,0.482,0.36,0.344,0.189
Work_Truck,601,3758,0.44,0.432,0.336,0.186
Building,1032,57768,0.621,0.681,0.65,0.361
Temp_Structure,142,567,0.618,0.0335,0.0698,0.0397
Construction,126,691,0.131,0.00289,0.0184,0.00889
Weights: SAMDEF_ISR/Run2/weights/best.pt,,,,,,
