epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,13441.6,1.88657,1.40159,0.00447,0.5293,0.36515,0.33373,0.17042,1.50443,1.33816,0.00431,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112
31,14109.1,1.88859,1.40913,0.00453,0.53764,0.36865,0.33472,0.17121,1.5,1.3421,0.00418,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953
32,14779.3,1.89436,1.3988,0.0045,0.55064,0.36549,0.33844,0.17343,1.50355,1.31701,0.00419,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695
33,15446.4,1.87554,1.38448,0.00448,0.56388,0.36045,0.33844,0.17394,1.50298,1.31768,0.00423,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338
34,16113.2,1.88561,1.39567,0.00444,0.54993,0.3691,0.34001,0.17419,1.50468,1.32929,0.00418,0.0282265,0.00940884,0.0282265,0.00940884,0.0282265,0.00940884,0.0282265,0.00940884
35,16781.3,1.87749,1.3976,0.00448,0.53998,0.36471,0.34112,0.17518,1.50055,1.32405,0.00418,0.02812,0.00937334,0.02812,0.00937334,0.02812,0.00937334,0.02812,0.00937334
36,17449.3,1.87912,1.37064,0.00441,0.55939,0.36662,0.34201,0.17573,1.50321,1.32365,0.00419,0.0280106,0.00933688,0.0280106,0.00933688,0.0280106,0.00933688,0.0280106,0.00933688
37,18119.9,1.87377,1.37232,0.00448,0.54101,0.36115,0.34156,0.17574,1.50007,1.32506,0.00406,0.0278984,0.00929948,0.0278984,0.00929948,0.0278984,0.00929948,0.0278984,0.00929948
38,18787.4,1.86704,1.37606,0.00444,0.5388,0.36421,0.34274,0.17657,1.50224,1.31752,0.00412,0.0277834,0.00926113,0.0277834,0.00926113,0.0277834,0.00926113,0.0277834,0.00926113
39,19457.1,1.87921,1.37022,0.00446,0.53444,0.36695,0.34241,0.17623,1.50314,1.31358,0.00409,0.0276656,0.00922186,0.0276656,0.00922186,0.0276656,0.00922186,0.0276656,0.00922186
40,20127.4,1.87504,1.34215,0.00438,0.54228,0.37158,0.34243,0.17643,1.50624,1.32081,0.00416,0.027545,0.00918167,0.027545,0.00918167,0.027545,0.00918167,0.027545,0.00918167
41,20795.4,1.86934,1.35267,0.00444,0.54375,0.37118,0.34311,0.17698,1.50239,1.3158,0.00408,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058
42,21464.8,1.87162,1.35668,0.00447,0.52738,0.36566,0.3429,0.17724,1.49813,1.31852,0.00408,0.0272957,0.00909858,0.0272957,0.00909858,0.0272957,0.00909858,0.0272957,0.00909858
43,22131.5,1.86536,1.34518,0.00439,0.53611,0.35959,0.34331,0.17783,1.49747,1.31648,0.00414,0.0271671,0.0090557,0.0271671,0.0090557,0.0271671,0.0090557,0.0271671,0.0090557
44,22801.7,1.86177,1.323,0.00436,0.53095,0.3645,0.34388,0.17821,1.4975,1.33001,0.00427,0.0270358,0.00901194,0.0270358,0.00901194,0.0270358,0.00901194,0.0270358,0.00901194
45,23468.1,1.86162,1.33546,0.00443,0.53725,0.36652,0.34353,0.17803,1.49828,1.32903,0.00433,0.0269019,0.00896731,0.0269019,0.00896731,0.0269019,0.00896731,0.0269019,0.00896731
46,24134,1.86409,1.34064,0.00439,0.53572,0.3645,0.34423,0.17845,1.50114,1.32179,0.00443,0.0267655,0.00892183,0.0267655,0.00892183,0.0267655,0.00892183,0.0267655,0.00892183
47,24800.6,1.8659,1.33884,0.00437,0.54409,0.36772,0.34458,0.17843,1.49814,1.32582,0.00441,0.0266265,0.0088755,0.0266265,0.0088755,0.0266265,0.0088755,0.0266265,0.0088755
48,25467.7,1.85803,1.32247,0.00437,0.53704,0.36848,0.34436,0.17847,1.49773,1.32616,0.00452,0.026485,0.00882834,0.026485,0.00882834,0.026485,0.00882834,0.026485,0.00882834
49,26134.6,1.86271,1.32414,0.00439,0.55041,0.37057,0.34375,0.17821,1.50192,1.32025,0.00451,0.0263411,0.00878036,0.0263411,0.00878036,0.0263411,0.00878036,0.0263411,0.00878036
50,26803.8,1.85458,1.31092,0.00437,0.54889,0.37065,0.34435,0.1786,1.49976,1.32265,0.00446,0.0261947,0.00873157,0.0261947,0.00873157,0.0261947,0.00873157,0.0261947,0.00873157
51,27473,1.85018,1.31616,0.00444,0.54725,0.37156,0.34423,0.17856,1.50035,1.32133,0.00444,0.0260459,0.00868198,0.0260459,0.00868198,0.0260459,0.00868198,0.0260459,0.00868198
52,28140.6,1.85907,1.32171,0.00439,0.54658,0.37054,0.34412,0.17848,1.49908,1.32181,0.00447,0.0258948,0.00863161,0.0258948,0.00863161,0.0258948,0.00863161,0.0258948,0.00863161
53,28810.1,1.86049,1.32112,0.0044,0.54911,0.36836,0.34401,0.17843,1.49795,1.32098,0.00443,0.0257414,0.00858046,0.0257414,0.00858046,0.0257414,0.00858046,0.0257414,0.00858046
54,29479.2,1.85239,1.30045,0.00432,0.55131,0.36724,0.3439,0.17835,1.49791,1.31959,0.00442,0.0255857,0.00852856,0.0255857,0.00852856,0.0255857,0.00852856,0.0255857,0.00852856
55,30150.4,1.84799,1.28533,0.0043,0.5444,0.36674,0.34417,0.17847,1.49717,1.32073,0.00441,0.0254277,0.0084759,0.0254277,0.0084759,0.0254277,0.0084759,0.0254277,0.0084759
56,30818.2,1.84368,1.27407,0.0043,0.54514,0.36663,0.34408,0.1784,1.49638,1.32117,0.00441,0.0252675,0.00842252,0.0252675,0.00842252,0.0252675,0.00842252,0.0252675,0.00842252
57,31487.6,1.84757,1.28657,0.00434,0.54493,0.36715,0.34439,0.1785,1.49737,1.32117,0.00441,0.0251052,0.00836841,0.0251052,0.00836841,0.0251052,0.00836841,0.0251052,0.00836841
58,32161.8,1.84566,1.29302,0.00433,0.54464,0.36819,0.34462,0.17863,1.49648,1.32376,0.0044,0.0249408,0.00831359,0.0249408,0.00831359,0.0249408,0.00831359,0.0249408,0.00831359
59,32831.7,1.84577,1.27726,0.00429,0.54687,0.36597,0.34474,0.17883,1.49619,1.32396,0.00442,0.0247742,0.00825808,0.0247742,0.00825808,0.0247742,0.00825808,0.0247742,0.00825808
60,33497.9,1.83585,1.27898,0.0043,0.54961,0.36414,0.34472,0.17892,1.49804,1.32167,0.00448,0.0246057,0.00820189,0.0246057,0.00820189,0.0246057,0.00820189,0.0246057,0.00820189
61,34166.7,1.83492,1.27013,0.00427,0.54919,0.36467,0.34489,0.17912,1.49762,1.32068,0.0045,0.0244351,0.00814503,0.0244351,0.00814503,0.0244351,0.00814503,0.0244351,0.00814503
62,34834.4,1.83996,1.26367,0.00429,0.55123,0.36318,0.3449,0.17927,1.49755,1.31857,0.0045,0.0242626,0.00808752,0.0242626,0.00808752,0.0242626,0.00808752,0.0242626,0.00808752
63,35501.4,1.83563,1.26275,0.00423,0.55319,0.3625,0.34543,0.17959,1.49739,1.32156,0.00447,0.0240881,0.00802938,0.0240881,0.00802938,0.0240881,0.00802938,0.0240881,0.00802938
